"Use naming convention - ""asset name, date of last update (DD/MM/YY), author"". For ex, ""Brochure- Safety at Facebook, 06/11/19, Dessy""",Asset Name,Date,Author,"For multiple countries, list all and separate by comma. (For ex, Indonesia, Philippines, Singapore.) For regional assets, list ""APAC""",One Pager,Report,Case study,Presentation,Presentation templat,Logo/Brand Guidelines,Brochure,Video,Case Study-Video,Case Study - Written,Case Study - Micro business,Case Study - Small business,Case Study - Women entrepreneur,Narrative/ key messaging,Other (type your response),"For multiple languages and sub-titles, list and all and separate by comma. (For ex, Bahasa Indonesia, English, Mandarin)",SheMeans Business,Boost,We Think Digital,Research,Other (type your response),Economic impact,Social impact,Digital citizenship/ Digital skills,Other (type your response),Internal,External,"Permission given?
",,,,
"(EXAMPLE TEXT) Choirul - Women entrepreneurship, 26/12/17, Dessy",,,,Indonesia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,Bahasa Indonesia,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,TRUE,,TRUE,FALSE,FALSE,https://www.dropbox.com/s/wuzlxeze5r7b37r/FBINDO_IRUL_ONLINE%20%28261217%29.mp4?dl=0,,,
"We Think Digital Social Assets Toolkit, 11/03/20, Geri","We Think Digital Social Assets Toolkit,",01-04-2020,Geri,apac,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,APAC,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,,FALSE,TRUE,TRUE,https://drive.google.com/drive/u/0/folders/1bFgakvLb1a9kcoRwwYT25bvYsJ8qLVhL,,x,https://dev-fb-apac.pantheonsite.io/wp-content/uploads/2020/08/We-Think-Digital-Social-Assets-Toolkit-April-2020.pdf
"We Think Digital Social Assets Toolkit, 11/03/20, Geri","We Think Digital Social Assets Toolkit,",01-04-2020,Geri,apac,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,APAC,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,,FALSE,TRUE,TRUE,https://drive.google.com/drive/u/0/folders/1bFgakvLb1a9kcoRwwYT25bvYsJ8qLVhL,,x,https://dev-fb-apac.pantheonsite.io/wp-content/uploads/2020/08/We-Think-Digital-Social-Assets-Toolkit-April-2020.pptx
"We Think Digital Teacher Case Study, 21/07/20, Thu",We Think Digital Teacher Case Study,21-07-2020,Thu,Vietnam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Vietnamese, English subtitles",FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,TRUE,,FALSE,TRUE,TRUE,https://drive.google.com/file/d/16Xic2rlRnIbWQiTfjl4VeB4q-7tQauNf/view?usp=sharing ,,x,https://drive.google.com/file/d/1_pKllEhuiLVOjB1lB-vc2ajb8ghJZ92x/view?usp=sharing
Jocyl,Jocyl,24-11-2019,Chris,Philippines,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,English,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,FALSE,TRUE,TRUE,https://drive.google.com/open?id=13LGfs0IGsbv8AmKLbebIFL3Se-8y7Cuo,,x,https://drive.google.com/file/d/1bZJaKq_cvlu2wX6KxFFODTObl9NG3EJI/view?usp=sharing
Balay Tablea (Catherine),Balay Tablea (Catherine),28-06-2019,Chris,Philippines,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,English,TRUE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,FALSE,TRUE,TRUE,https://drive.google.com/open?id=1kcJ3dWRdOh3yxRbbOzhfieovTRUAuMq3,,x,https://drive.google.com/file/d/1Z1UhUgZFBSKahGDhPB9Sw9jNzrAfqevF/view?usp=sharing
Anna Oposa,Anna Oposa,,Chris,Philippines,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,English,TRUE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,FALSE,TRUE,TRUE,,https://shemeansbusiness.fb.com/stories/meet-anna/,x,https://shemeansbusiness.fb.com/stories/meet-anna/
Celine & Jenny,Celine & Jenny,,Chris,Philippines,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,English,TRUE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,FALSE,TRUE,TRUE,,https://shemeansbusiness.fb.com/stories/meet-celine-jenny/,x,https://shemeansbusiness.fb.com/stories/meet-celine-jenny/
Francesca Zimmer-Santos,Francesca Zimmer-Santos,,Chris,Philippines,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,English,TRUE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,FALSE,TRUE,TRUE,,https://shemeansbusiness.fb.com/stories/meet-francesca/,x,https://shemeansbusiness.fb.com/stories/meet-francesca/
Danella Yujuico Yaptinchay,Danella Yujuico Yaptinchay,,Chris,Philippines,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,English,TRUE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,FALSE,TRUE,TRUE,,https://shemeansbusiness.fb.com/stories/meet-danella/,x,https://shemeansbusiness.fb.com/stories/meet-danella/
